 aSrc_total_MB@cell_membrane, aSrc_total_MB@cell_membrane-normalised, aSrc_total_MB@cytoplasm, aSrc_total_MB@cytoplasm-normalised, aSrc_total_MB@perinuclear_region, aSrc_total_MB@perinuclear_region-normalised
750.0,0.000225396913835,750.0,0.000225396913835,750.0,0.000225396913835
750.0,0.000225396913835,750.0,0.000225396913835,750.0,0.000225396913835
750.0,0.000225396913835,750.0,0.000225396913835,750.0,0.000225396913835
750.0,0.000225396913835,750.0,0.000225396913835,750.0,0.000225396913835
750.0,0.000225396913835,750.0,0.000225396913835,750.0,0.000225396913835
750.0,0.000225396913835,750.0,0.000225396913835,750.0,0.000225396913835
750.0,0.000225396913835,750.0,0.000225396913835,750.0,0.000225396913835
750.0,0.000225396913835,750.0,0.000225396913835,750.0,0.000225396913835
750.0,0.000225396913835,750.0,0.000225396913835,750.0,0.000225396913835
750.0,0.000225396913835,750.0,0.000225396913835,750.0,0.000225396913835
750.0,0.000225396913835,750.0,0.000225396913835,750.0,0.000225396913835
750.0,0.000225396913835,750.0,0.000225396913835,750.0,0.000225396913835
750.0,0.000225396913835,750.0,0.000225396913835,750.0,0.000225396913835
750.0,0.000225396913835,750.0,0.000225396913835,750.0,0.000225396913835
750.0,0.000225396913835,750.0,0.000225396913835,750.0,0.000225396913835
750.0,0.000225396913835,750.0,0.000225396913835,750.0,0.000225396913835
