# Simulator: Gillespie's Stochastic Algorithm
# Number of data points: 100
# Stop time: 15000.0
# Number of independent replications: 10
# Start time: 0.0
# Model Parameters
# Run time = 202.0850067138672
# Time, "cAMP@cyto", "MAPK_active_fraction"
0.0, 0.0, 0.0
151.5151515151515, 171.4, 0.0064516129032258064
303.030303030303, 111.0, 0.10599078341013823
454.5454545454545, 95.0, 0.10506912442396313
606.060606060606, 86.4, 0.11935483870967743
757.5757575757575, 70.4, 0.12073732718894009
909.090909090909, 82.60000000000001, 0.14101382488479264
1060.6060606060605, 76.80000000000001, 0.1488479262672811
1212.121212121212, 75.10000000000001, 0.15345622119815672
1363.6363636363635, 76.80000000000001, 0.1695852534562212
1515.151515151515, 75.5, 0.16082949308755762
1666.6666666666665, 71.4, 0.16589861751152077
1818.181818181818, 72.5, 0.18801843317972353
1969.6969696969695, 74.3, 0.1995391705069125
2121.212121212121, 76.5, 0.20921658986175118
2272.7272727272725, 76.0, 0.2207373271889401
2424.242424242424, 78.80000000000001, 0.21198156682027647
2575.7575757575755, 76.3, 0.21474654377880184
2727.272727272727, 73.3, 0.21705069124423965
2878.7878787878785, 73.5, 0.24009216589861754
3030.30303030303, 76.5, 0.2391705069124424
3181.8181818181815, 67.8, 0.24193548387096775
3333.333333333333, 78.9, 0.2276497695852535
3484.8484848484845, 78.80000000000001, 0.24516129032258066
3636.363636363636, 75.7, 0.2529953917050691
3787.8787878787875, 71.9, 0.2645161290322581
3939.393939393939, 80.30000000000001, 0.24700460829493093
4090.9090909090905, 72.5, 0.24884792626728114
4242.424242424242, 74.2, 0.2645161290322581
4393.939393939394, 78.60000000000001, 0.25483870967741934
4545.454545454545, 73.0, 0.2815668202764977
4696.969696969696, 71.0, 0.2728110599078341
4848.484848484848, 78.30000000000001, 0.25622119815668204
5000.0, 78.10000000000001, 0.27235023041474654
5151.515151515151, 74.5, 0.28433179723502305
5303.030303030302, 73.60000000000001, 0.23225806451612907
5454.545454545454, 72.5, 0.26820276497695855
5606.060606060606, 76.2, 0.2585253456221198
5757.575757575757, 72.5, 0.30046082949308756
5909.090909090908, 79.30000000000001, 0.28571428571428575
6060.60606060606, 81.9, 0.29124423963133644
6212.121212121212, 75.3, 0.2649769585253456
6363.636363636363, 67.60000000000001, 0.28433179723502305
6515.151515151514, 70.7, 0.295852534562212
6666.666666666666, 69.7, 0.28064516129032263
6818.181818181818, 64.3, 0.28064516129032263
6969.696969696969, 59.900000000000006, 0.30276497695852533
7121.21212121212, 44.1, 0.28617511520737327
7272.727272727272, 11.200000000000001, 0.2907834101382488
7424.242424242424, 0.5, 0.1847926267281106
7575.757575757575, 0.0, 0.10829493087557605
7727.272727272726, 0.0, 0.07557603686635944
7878.787878787878, 0.1, 0.029032258064516134
8030.30303030303, 0.0, 0.002764976958525346
8181.818181818181, 0.0, 0.0
8333.333333333332, 0.0, 0.0
8484.848484848484, 0.0, 0.0
8636.363636363636, 0.0, 0.0
8787.878787878788, 0.0, 0.0
8939.393939393938, 0.0, 0.0
9090.90909090909, 0.0, 0.0
9242.424242424242, 0.0, 0.0
9393.939393939392, 0.0, 0.0
9545.454545454544, 0.0, 0.0
9696.969696969696, 0.0, 0.008294930875576038
9848.484848484848, 0.0, 0.0
10000.0, 0.0, 0.0
10151.51515151515, 0.0, 0.0
10303.030303030302, 0.0, 0.003686635944700461
10454.545454545454, 0.0, 0.005990783410138249
10606.060606060604, 0.0, 0.0
10757.575757575756, 0.1, 0.0
10909.090909090908, 0.1, 0.0
11060.60606060606, 0.0, 0.0
11212.121212121212, 0.0, 0.0
11363.636363636362, 0.0, 0.0
11515.151515151514, 0.1, 0.0
11666.666666666666, 0.0, 0.0
11818.181818181816, 0.0, 0.0
11969.696969696968, 0.0, 0.0
12121.21212121212, 0.0, 0.0
12272.727272727272, 0.0, 0.0
12424.242424242424, 0.0, 0.0
12575.757575757574, 0.0, 0.0
12727.272727272726, 0.0, 0.0
12878.787878787878, 0.0, 0.0
13030.303030303028, 0.0, 0.0
13181.81818181818, 0.0, 0.0
13333.333333333332, 0.0, 0.0
13484.848484848484, 0.0, 0.0
13636.363636363636, 0.0, 0.0
13787.878787878786, 0.0, 0.0
13939.393939393938, 0.0, 0.0
14090.90909090909, 0.0, 0.0
14242.42424242424, 0.0, 0.0
14393.939393939392, 0.0, 0.0
14545.454545454544, 0.0, 0.0
14696.969696969696, 0.0, 0.0
14848.484848484848, 0.0, 0.0
14999.999999999998, 0.0, 0.0
