# Simulator: Gillespie's Stochastic Algorithm
# Number of data points: 100
# Stop time: 15000.0
# Number of independent replications: 10
# Start time: 0.0
# Model Parameters
# Run time = 0.3619999885559082
# Time, "A@C1", "A@C2", "A@C3", "A@C4", "B@C1", "B@C2", "B@C3", "B@C4", "D@C1", "D@C2", "D@C3", "D@C4"
5151.515151515151, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.900000000000002, 25.3, 25.5, 24.3
5303.030303030302, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.3, 25.1, 25.700000000000003, 25.900000000000002
5454.545454545454, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.3, 24.8, 25.6, 25.3
5606.060606060606, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.0, 25.400000000000002, 27.400000000000002, 23.200000000000003
5757.575757575757, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.200000000000003, 25.5, 24.6, 23.700000000000003
5909.090909090908, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.0, 25.6, 25.700000000000003, 22.700000000000003
6060.60606060606, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.3, 27.3, 22.1, 24.3
6212.121212121212, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27.6, 23.8, 24.0, 24.6
6363.636363636363, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.6, 26.3, 26.200000000000003, 22.900000000000002
6515.151515151514, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.8, 25.0, 24.5, 24.700000000000003
6666.666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27.6, 24.400000000000002, 23.5, 24.5
6818.181818181818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27.900000000000002, 24.6, 21.900000000000002, 25.6
