# Simulator: Gillespie's Stochastic Algorithm
# Number of data points: 100
# Stop time: 15000.0
# Number of independent replications: 10
# Start time: 0.0
# Model Parameters
# Run time = 1.371000051498413
# Time, "results - A@C1", "results - A@C2", "results - A@C3", "results - A@C4", "results - B@C1", "results - B@C2", "results - B@C3", "results - B@C4"
7272.727272727272, 0.0, 0.0, 0.0, 0.0, 96.80000000000001, 102.80000000000001, 104.4, 97.0
7424.242424242424, 0.0, 0.0, 0.0, 0.0, 96.30000000000001, 100.9, 103.4, 100.4
7575.757575757575, 0.0, 0.0, 0.0, 0.0, 99.9, 98.30000000000001, 105.0, 97.80000000000001
7727.272727272726, 0.0, 0.0, 0.0, 0.0, 103.2, 95.7, 98.5, 103.60000000000001
7878.787878787878, 0.0, 0.0, 0.0, 0.0, 94.60000000000001, 100.5, 100.4, 105.5
8030.30303030303, 0.0, 0.0, 0.0, 0.0, 101.5, 99.2, 95.7, 104.60000000000001
8181.818181818181, 0.0, 0.0, 0.0, 0.0, 97.60000000000001, 106.4, 99.5, 97.5
8333.333333333332, 0.0, 0.0, 0.0, 0.0, 103.10000000000001, 102.10000000000001, 98.10000000000001, 97.7
8484.848484848484, 0.0, 0.0, 0.0, 0.0, 100.2, 101.80000000000001, 98.30000000000001, 100.7
8636.363636363636, 0.0, 0.0, 0.0, 0.0, 102.2, 98.4, 100.4, 100.0
8787.878787878788, 0.0, 0.0, 0.0, 0.0, 98.4, 98.4, 102.4, 101.80000000000001
8939.393939393938, 0.0, 0.0, 0.0, 0.0, 98.30000000000001, 103.0, 97.60000000000001, 102.10000000000001
9090.90909090909, 0.0, 0.0, 0.0, 0.0, 97.30000000000001, 98.5, 104.30000000000001, 100.9
9242.424242424242, 0.0, 0.0, 0.0, 0.0, 98.60000000000001, 98.60000000000001, 99.7, 104.10000000000001
9393.939393939392, 0.0, 0.0, 0.0, 0.0, 104.2, 93.7, 103.30000000000001, 99.80000000000001
9545.454545454544, 0.0, 0.0, 0.0, 0.0, 99.7, 97.60000000000001, 104.30000000000001, 99.4
9696.969696969696, 0.0, 0.0, 0.0, 0.0, 99.0, 100.60000000000001, 101.7, 99.7
9848.484848484848, 0.0, 0.0, 0.0, 0.0, 99.4, 102.5, 99.30000000000001, 99.80000000000001
10000.0, 0.0, 0.0, 0.0, 0.0, 98.2, 97.9, 103.2, 101.7
10151.51515151515, 0.0, 0.0, 0.0, 0.0, 99.7, 99.5, 101.7, 100.10000000000001
10303.030303030302, 0.0, 0.0, 0.0, 0.0, 101.10000000000001, 101.7, 98.80000000000001, 99.4
10454.545454545454, 0.0, 0.0, 0.0, 0.0, 98.0, 102.9, 99.4, 100.7
10606.060606060604, 0.0, 0.0, 0.0, 0.0, 99.4, 102.0, 102.9, 96.7
10757.575757575756, 0.0, 0.0, 0.0, 0.0, 103.5, 99.7, 100.4, 97.4
10909.090909090908, 0.0, 0.0, 0.0, 0.0, 102.60000000000001, 101.4, 98.30000000000001, 98.7
11060.60606060606, 0.0, 0.0, 0.0, 0.0, 100.2, 98.10000000000001, 103.7, 99.0
11212.121212121212, 0.0, 0.0, 0.0, 0.0, 94.7, 98.60000000000001, 104.5, 103.2
11363.636363636362, 0.0, 0.0, 0.0, 0.0, 98.30000000000001, 97.10000000000001, 103.4, 102.2
11515.151515151514, 0.0, 0.0, 0.0, 0.0, 101.9, 96.60000000000001, 100.4, 102.10000000000001
11666.666666666666, 0.0, 0.0, 0.0, 0.0, 98.5, 99.10000000000001, 98.10000000000001, 105.30000000000001
11818.181818181816, 0.0, 0.0, 0.0, 0.0, 96.10000000000001, 95.10000000000001, 103.30000000000001, 106.5
11969.696969696968, 0.0, 0.0, 0.0, 0.0, 101.10000000000001, 96.2, 102.80000000000001, 100.9
12121.21212121212, 0.0, 0.0, 0.0, 0.0, 102.80000000000001, 98.5, 100.2, 99.5
12272.727272727272, 0.0, 0.0, 0.0, 0.0, 106.0, 100.7, 98.7, 95.60000000000001
12424.242424242424, 0.0, 0.0, 0.0, 0.0, 103.5, 99.30000000000001, 98.60000000000001, 99.60000000000001
12575.757575757574, 0.0, 0.0, 0.0, 0.0, 99.5, 103.0, 98.2, 100.30000000000001
12727.272727272726, 0.0, 0.0, 0.0, 0.0, 101.7, 101.80000000000001, 99.80000000000001, 97.7
12878.787878787878, 0.0, 0.0, 0.0, 0.0, 97.0, 102.10000000000001, 99.30000000000001, 102.60000000000001
13030.303030303028, 0.0, 0.0, 0.0, 0.0, 98.5, 99.2, 103.60000000000001, 99.7
13181.81818181818, 0.0, 0.0, 0.0, 0.0, 103.30000000000001, 96.7, 98.7, 102.30000000000001
13333.333333333332, 0.0, 0.0, 0.0, 0.0, 95.80000000000001, 99.2, 103.2, 102.80000000000001
13484.848484848484, 0.0, 0.0, 0.0, 0.0, 97.9, 99.30000000000001, 102.80000000000001, 101.0
13636.363636363636, 0.0, 0.0, 0.0, 0.0, 99.2, 105.10000000000001, 97.60000000000001, 99.10000000000001
13787.878787878786, 0.0, 0.0, 0.0, 0.0, 98.10000000000001, 100.7, 103.0, 99.2
13939.393939393938, 0.0, 0.0, 0.0, 0.0, 103.80000000000001, 100.5, 97.9, 98.80000000000001
14090.90909090909, 0.0, 0.0, 0.0, 0.0, 101.30000000000001, 101.9, 97.30000000000001, 100.5
14242.42424242424, 0.0, 0.0, 0.0, 0.0, 95.4, 99.80000000000001, 107.7, 98.10000000000001
14393.939393939392, 0.0, 0.0, 0.0, 0.0, 100.7, 100.30000000000001, 101.0, 99.0
14545.454545454544, 0.0, 0.0, 0.0, 0.0, 99.2, 100.7, 101.30000000000001, 99.80000000000001
14696.969696969696, 0.0, 0.0, 0.0, 0.0, 102.80000000000001, 100.2, 101.2, 96.80000000000001
14848.484848484848, 0.0, 0.0, 0.0, 0.0, 100.4, 96.5, 105.4, 98.7
14999.999999999998, 0.0, 0.0, 0.0, 0.0, 100.2, 97.7, 98.80000000000001, 104.30000000000001
