# Simulator: Gillespie's Stochastic Algorithm
# Number of data points: 100
# Number of independent replications: 10
# Stop time: 15000.0
# Start time: 0.0
# Model Parameters
# Run time = 28.968000411987305
# Time, "aSrc@cell_membrane", "R@cell_membrane"
0.0, 750.0, 50000.0
151.5151515151515, 722.9000000000001, 50000.0
303.030303030303, 765.9000000000001, 50000.0
454.5454545454545, 757.3000000000001, 50000.0
606.060606060606, 739.6, 50000.0
757.5757575757575, 751.6, 50000.0
909.090909090909, 758.9000000000001, 50000.0
1060.6060606060605, 764.5, 50000.0
1212.121212121212, 737.8000000000001, 50000.0
1363.6363636363635, 774.3000000000001, 50000.0
1515.151515151515, 765.5, 50000.0
1666.6666666666665, 761.0, 50000.0
1818.181818181818, 753.4000000000001, 50000.0
1969.6969696969695, 714.8000000000001, 50000.0
2121.212121212121, 743.0, 50000.0
2272.7272727272725, 771.4000000000001, 50000.0
2424.242424242424, 747.0, 50000.0
2575.7575757575755, 767.1, 50000.0
2727.272727272727, 767.1, 50000.0
2878.7878787878785, 801.0, 50000.0
3030.30303030303, 775.0, 50000.0
3181.8181818181815, 745.6, 50000.0
3333.333333333333, 711.3000000000001, 50000.0
3484.8484848484845, 767.1, 50000.0
3636.363636363636, 961.8000000000001, 49853.100000000006
3787.8787878787875, 6403.0, 49254.5
3939.393939393939, 11223.900000000001, 48648.5
4090.9090909090905, 9496.6, 48039.3
4242.424242424242, 11804.300000000001, 47448.4
4393.939393939394, 11963.0, 46840.8
4545.454545454545, 14167.6, 46239.8
4696.969696969696, 11588.300000000001, 45631.4
4848.484848484848, 11864.6, 45030.8
5000.0, 13294.7, 44426.9
5151.515151515151, 13286.6, 43817.700000000004
5303.030303030302, 13294.400000000001, 43227.4
5454.545454545454, 12909.1, 42625.5
5606.060606060606, 12711.6, 42012.4
5757.575757575757, 12849.300000000001, 41401.700000000004
5909.090909090908, 11660.1, 40792.3
6060.60606060606, 11585.400000000001, 40172.5
6212.121212121212, 13369.2, 39561.100000000006
6363.636363636363, 14171.1, 38959.0
6515.151515151514, 12657.2, 38339.6
6666.666666666666, 10813.800000000001, 37736.6
6818.181818181818, 12794.1, 37129.4
6969.696969696969, 13251.6, 36535.5
7121.21212121212, 12304.0, 35928.4
7272.727272727272, 12177.300000000001, 35327.700000000004
7424.242424242424, 12424.1, 34736.0
7575.757575757575, 12876.0, 34118.700000000004
7727.272727272726, 11286.300000000001, 33522.3
7878.787878787878, 12497.0, 32905.700000000004
8030.30303030303, 11980.2, 32306.0
8181.818181818181, 12372.0, 31703.100000000002
8333.333333333332, 13712.300000000001, 31101.800000000003
8484.848484848484, 12016.900000000001, 30497.800000000003
8636.363636363636, 12070.800000000001, 30018.100000000002
8787.878787878788, 6724.5, 30000.0
8939.393939393938, 3909.9, 30000.0
9090.90909090909, 2260.9, 30000.0
9242.424242424242, 1762.8000000000002, 30000.0
9393.939393939392, 916.6, 30000.0
9545.454545454544, 969.2, 30000.0
9696.969696969696, 974.3000000000001, 30000.0
9848.484848484848, 783.3000000000001, 30000.0
10000.0, 704.7, 30000.0
10151.51515151515, 781.1, 30000.0
10303.030303030302, 759.3000000000001, 30000.0
10454.545454545454, 748.5, 30000.0
10606.060606060604, 750.9000000000001, 30000.0
10757.575757575756, 756.2, 30000.0
10909.090909090908, 714.2, 30000.0
11060.60606060606, 729.1, 30000.0
11212.121212121212, 749.3000000000001, 30000.0
11363.636363636362, 751.9000000000001, 30000.0
11515.151515151514, 752.8000000000001, 30000.0
11666.666666666666, 722.6, 30000.0
11818.181818181816, 772.9000000000001, 30000.0
11969.696969696968, 761.5, 30000.0
12121.21212121212, 780.5, 30000.0
12272.727272727272, 729.6, 30000.0
12424.242424242424, 713.9000000000001, 30000.0
12575.757575757574, 753.4000000000001, 30000.0
12727.272727272726, 764.5, 30000.0
12878.787878787878, 692.1, 30000.0
13030.303030303028, 738.1, 30000.0
13181.81818181818, 740.5, 30000.0
13333.333333333332, 747.9000000000001, 30000.0
13484.848484848484, 744.3000000000001, 30000.0
13636.363636363636, 753.9000000000001, 30000.0
13787.878787878786, 705.8000000000001, 30000.0
13939.393939393938, 765.3000000000001, 30000.0
14090.90909090909, 745.2, 30000.0
14242.42424242424, 750.5, 30000.0
14393.939393939392, 772.3000000000001, 30000.0
14545.454545454544, 737.9000000000001, 30000.0
14696.969696969696, 755.5, 30000.0
14848.484848484848, 761.1, 30000.0
14999.999999999998, 791.1, 30000.0
