# Simulator: Gillespie's Stochastic Algorithm
# Number of data points: 100
# Stop time: 20000.0
# Number of independent replications: 10
# Start time: 0.0
# Model Parameters
# Run time = 105.82099914550781
# Time, "R@cytoplasm", "aSrc_total_MB@cytoplasm"
0.0, 50000.0, 750.0
202.02020202020202, 50000.0, 760.1
404.04040404040404, 50000.0, 734.0
606.060606060606, 50000.0, 729.1
808.0808080808081, 50000.0, 732.8000000000001
1010.1010101010102, 50000.0, 723.3000000000001
1212.121212121212, 50000.0, 773.3000000000001
1414.141414141414, 50000.0, 768.8000000000001
1616.1616161616162, 50000.0, 776.1
1818.1818181818182, 50000.0, 783.1
2020.2020202020203, 50000.0, 739.2
2222.222222222222, 50000.0, 773.4000000000001
2424.242424242424, 50000.0, 740.2
2626.2626262626263, 50000.0, 743.0
2828.282828282828, 50000.0, 749.3000000000001
3030.3030303030305, 50000.0, 742.7
3232.3232323232323, 50000.0, 777.0
3434.343434343434, 50000.0, 740.2
3636.3636363636365, 48571.3, 3664.9
3838.3838383838383, 40466.100000000006, 70554.40000000001
4040.4040404040406, 32395.4, 101988.70000000001
4242.424242424242, 24361.5, 116374.6
4444.444444444444, 16275.2, 116918.8
4646.464646464647, 8210.0, 118047.70000000001
4848.484848484848, 208.3, 119181.0
5050.50505050505, 0.0, 61371.600000000006
5252.525252525253, 0.0, 23616.300000000003
5454.545454545455, 0.0, 8513.800000000001
5656.565656565656, 0.0, 2948.0
5858.585858585859, 0.0, 1826.3000000000002
6060.606060606061, 0.0, 1024.4
6262.626262626262, 0.0, 986.7
6464.646464646465, 0.0, 716.5
6666.666666666667, 0.0, 691.2
6868.686868686868, 0.0, 748.2
7070.707070707071, 0.0, 770.4000000000001
7272.727272727273, 0.0, 699.6
7474.747474747474, 0.0, 759.3000000000001
7676.767676767677, 0.0, 711.8000000000001
7878.787878787879, 0.0, 707.1
8080.808080808081, 0.0, 749.0
8282.828282828283, 0.0, 736.9000000000001
8484.848484848484, 0.0, 711.1
8686.868686868687, 0.0, 778.4000000000001
8888.888888888889, 0.0, 750.1
9090.90909090909, 0.0, 750.9000000000001
9292.929292929293, 0.0, 801.8000000000001
9494.949494949495, 0.0, 792.5
9696.969696969696, 0.0, 765.2
9898.9898989899, 0.0, 747.0
10101.0101010101, 0.0, 765.7
10303.030303030304, 0.0, 727.6
10505.050505050505, 0.0, 733.7
10707.070707070707, 0.0, 730.3000000000001
10909.09090909091, 0.0, 755.6
11111.111111111111, 0.0, 754.5
11313.131313131313, 0.0, 771.0
11515.151515151516, 0.0, 722.0
11717.171717171717, 0.0, 747.0
11919.191919191919, 0.0, 753.7
12121.212121212122, 0.0, 736.0
12323.232323232323, 0.0, 750.6
12525.252525252525, 0.0, 755.5
12727.272727272728, 0.0, 709.6
12929.29292929293, 0.0, 735.1
13131.31313131313, 0.0, 757.5
13333.333333333334, 0.0, 703.7
13535.353535353535, 0.0, 806.6
13737.373737373737, 0.0, 763.1
13939.39393939394, 0.0, 760.8000000000001
14141.414141414141, 0.0, 795.7
14343.434343434343, 0.0, 757.9000000000001
14545.454545454546, 0.0, 744.5
14747.474747474747, 0.0, 790.9000000000001
14949.494949494949, 0.0, 758.2
15151.515151515152, 0.0, 762.9000000000001
15353.535353535353, 0.0, 753.6
15555.555555555555, 0.0, 769.4000000000001
15757.575757575758, 0.0, 774.1
15959.59595959596, 0.0, 753.8000000000001
16161.616161616163, 0.0, 708.5
16363.636363636364, 0.0, 733.4000000000001
16565.656565656565, 0.0, 717.7
16767.676767676767, 0.0, 756.8000000000001
16969.696969696968, 0.0, 734.3000000000001
17171.717171717173, 0.0, 734.5
17373.737373737375, 0.0, 724.6
17575.757575757576, 0.0, 757.2
17777.777777777777, 0.0, 731.7
17979.79797979798, 0.0, 768.5
18181.81818181818, 0.0, 736.0
18383.838383838385, 0.0, 745.4000000000001
18585.858585858587, 0.0, 721.6
18787.878787878788, 0.0, 740.1
18989.89898989899, 0.0, 739.9000000000001
19191.91919191919, 0.0, 741.1
19393.939393939392, 0.0, 755.7
19595.959595959597, 0.0, 717.1
19797.9797979798, 0.0, 767.1
20000.0, 0.0, 743.5
